gender,age,university,degree_level,degree_major,academic_year,cgpa,residential_status,campus_discrimination,sports_engagement,average_sleep,study_satisfaction,academic_workload ,academic_pressure,financial_concerns,social_relationships,anxiety,isolation,future_insecurity
1,21,4,1,1,1,3,1,1,1,1,3,4,5,3,4,1,1,1
0,19,5,1,0,2,4,1,0,3,1,3,5,5,3,3,5,3,5
1,20,0,1,0,2,4,0,0,0,1,4,5,4,4,4,3,1,2
1,18,4,1,1,0,5,0,0,3,2,5,3,1,1,3,2,2,1
0,19,4,1,1,1,3,0,0,0,1,4,4,4,4,1,1,1,4
1,18,4,1,1,0,3,0,0,1,1,4,3,4,4,4,4,4,2
1,23,0,1,0,2,3,0,0,3,1,3,5,3,5,1,5,5,5
1,20,1,1,0,2,3,0,0,0,1,4,5,5,1,5,4,1,1
0,20,5,1,0,2,4,0,0,3,1,4,5,5,3,3,5,5,5
0,19,4,1,1,1,3,1,0,3,0,2,4,4,1,2,3,4,3
1,19,4,1,1,0,2,1,0,3,1,2,4,1,5,3,3,3,2
1,18,4,1,0,0,5,0,0,2,1,3,3,4,5,2,3,4,5
1,18,4,1,1,0,0,0,0,2,2,4,4,4,4,5,3,1,3
1,19,3,1,0,2,5,1,0,0,2,4,4,4,3,4,2,2,4
0,20,4,1,1,0,4,0,0,3,0,5,4,4,3,1,2,3,1
1,18,4,1,1,0,5,0,1,0,1,4,3,3,2,3,3,3,4
0,17,4,1,0,0,5,1,0,3,1,4,5,5,5,1,5,5,3
1,22,4,1,1,1,4,0,1,3,1,3,4,4,5,4,2,2,4
1,20,4,1,1,1,4,1,0,3,1,5,3,1,5,3,1,2,1
1,20,0,1,0,2,4,0,0,0,1,3,4,3,4,1,2,1,3
1,19,4,1,1,0,5,0,1,0,1,5,4,4,5,3,5,4,3
0,20,5,1,0,2,5,0,0,3,1,5,4,5,4,1,5,5,4
1,19,4,1,1,0,4,0,0,2,1,5,5,3,5,5,1,3,2
1,20,4,1,1,2,5,0,1,3,2,4,4,3,1,1,3,5,2
1,19,4,1,1,0,4,0,0,3,1,3,3,4,5,3,4,5,1
0,19,4,1,1,0,5,0,0,0,1,5,4,4,1,3,4,3,3
1,20,5,1,0,2,3,1,0,3,1,3,5,4,4,1,5,5,3
1,19,4,1,1,0,3,0,0,3,2,5,3,5,3,3,2,3,1
0,18,4,1,1,0,3,0,0,3,1,1,4,5,5,2,5,5,5
1,20,0,1,0,2,3,0,1,0,1,3,4,3,4,2,4,3,5
1,19,7,1,0,2,3,0,1,1,2,3,2,4,4,4,1,3,3
1,26,4,0,1,0,3,1,1,0,2,4,4,4,5,2,4,4,5
1,20,0,1,0,2,5,0,1,1,2,4,3,5,3,3,4,4,4
0,17,4,1,0,0,5,1,0,3,1,4,4,4,5,3,4,5,2
1,22,4,1,2,3,4,0,1,3,1,5,4,2,5,1,5,5,3
0,19,4,1,1,1,5,1,0,1,1,4,4,4,3,4,2,1,3
1,22,8,1,3,3,4,0,0,0,2,4,4,3,5,1,3,4,1
1,18,4,1,0,0,5,0,1,1,2,4,2,2,1,3,1,2,3
1,21,4,1,1,1,5,1,0,0,1,5,4,3,4,5,2,2,3
1,21,4,1,3,3,5,0,1,0,1,3,4,5,4,3,5,5,5
1,22,4,1,1,1,3,0,0,3,1,3,3,3,3,2,4,4,5
0,19,4,1,1,0,4,0,1,3,2,5,3,3,4,3,1,1,3
1,22,5,1,0,2,3,0,0,3,1,4,4,5,4,3,4,4,5
1,20,4,1,0,0,1,0,1,2,0,1,4,5,5,1,5,5,5
1,18,4,1,1,0,4,0,0,3,2,2,4,4,5,1,4,5,5
1,20,6,1,0,2,5,0,0,2,2,5,3,4,3,2,4,4,5
1,20,4,1,1,1,5,0,0,1,2,5,2,2,1,3,1,1,1
1,19,4,1,0,0,2,1,0,0,1,5,4,5,5,1,4,5,1
1,22,4,1,2,3,4,0,0,1,1,5,3,3,3,4,2,2,4
1,20,4,1,1,0,0,1,0,3,1,4,4,4,5,2,2,4,2
1,18,4,1,1,0,1,1,0,3,1,5,4,5,2,3,3,4,4
1,22,4,1,2,3,4,1,0,3,2,4,3,1,4,4,3,1,2
1,21,1,1,1,2,2,0,0,0,2,3,5,4,1,3,2,4,4
0,19,4,1,0,1,4,0,0,3,2,4,3,3,3,3,4,3,2
1,26,2,1,1,3,5,0,1,0,2,5,5,1,5,1,5,3,5
0,19,4,1,1,0,4,0,0,1,2,5,3,2,2,4,2,1,1
1,20,4,1,1,0,5,0,0,1,2,5,5,5,3,5,3,3,2
1,20,5,0,0,2,4,0,0,0,1,5,4,4,1,3,3,3,4
1,18,4,1,2,0,0,0,0,2,2,5,3,4,3,5,3,3,1
0,19,4,1,1,0,4,0,1,3,1,4,5,5,2,2,4,5,5
1,20,1,1,0,2,3,0,0,0,0,5,5,5,3,4,3,3,1
1,20,5,1,0,2,5,0,0,0,1,5,5,4,5,3,5,5,3
1,22,4,1,2,3,3,0,0,3,2,1,2,2,1,2,2,5,2
1,21,4,1,1,0,5,0,0,2,2,5,3,3,2,4,1,2,2
0,20,4,1,1,0,4,0,0,0,2,5,4,4,2,3,2,2,2
1,21,1,1,0,2,3,0,0,1,2,4,4,4,2,4,2,2,3
1,20,5,1,0,2,4,0,0,2,2,4,2,3,4,2,3,4,3
0,20,4,1,1,0,4,0,0,3,1,3,3,3,3,2,3,5,3
1,17,4,1,2,0,0,0,0,2,2,3,5,5,1,3,4,4,5
